k,m,T,P_cont,P_disc_best,bound_factor,best_b,best_x,best_P
3,9,30,0.026999999999999996,0.09259259259259259,1.2419300564485,"(2, 2, 5)","(3, 3, 24)",0.09259259259259259
3,15,30,0.125,0.23011363636363638,1.161834242728283,"(3, 3, 9)","(4, 4, 22)",0.23011363636363638
4,12,24,0.0625,0.11904761904761904,1.2840254166877414,"(2, 2, 3, 5)","(3, 3, 4, 14)",0.11904761904761904
